source_text,interlinear_gloss,target_text
We come to a place where the Word of God is spoken,1PL.in come PART LOC place where REL voice advice father God to.tell and(IND) say,ji'i mai la ètu era  dhu lii holonori Ama Lamatua lole dan peka
We come from the place where they preach the Word of God,1PL.ex to.come finish from place REL 3PL to.tell to.say voice advice Father God DIST.SG,ji'i mai èle asa era dhu ra lole peka lii holonori Ama Lamatua èèna
a plant whose leaf is too wide,child wood one REL leaf 3SG wide big,ana aj'u èci dhu rèu  bhèla aae
the flag whose price is thirty million,flag REL price three tens million PART,paji dhu kabua tèlu nguru juta na
just now I told the one  which is short,recent DIST.SG 1SG to.say REL short recent REM.PL,deo èèna ja'a peka dhu bab'a deo Sèi
it shows the one  which is very hot,3SG to.give REL hot big hot big DIST.SG,na hia dhu pana aae pana aae èèna
there also exist those  which are twenty meters,to.get REL two tens meter also,abhu dhu dua nguru meter hèi
the clan chief's wife who is the young lady just now called the girl,mother clan(IND) PART child female just.now PART call child female PROX.SG,ina suku ho ana bhèni deo na paroa ana bhèni ne'e
Who is he whose heart is not broken,who PART 3SG PART inside be.sick not,cee ka nèngu ho dara pèda boe
Who will not drop tears,who PART 3SG PART CAUS-drip not water eye,cee ka nèngu ho pa-suti boe èi madha
Who will not drop tears,who PART 3SG REL CAUS-drip not water eye,?cee ka nèngu dhu pasuti boe èi madha
A big sarong which Roteneses usually wear for marriage proposal,sarong big PART usual(IND) person Rote use(IND) PART to.go-3PL ask person,sig'i aae ho biasa dhèu Rote pake ho la -si karèi dhèu
In the water which is full of crocodiles,inside water PART crocodile all full,dara èi ho bakihoe hua pènu
I think of our life,1SG to.think DUP-to.live 1PL,ja'a ngee ma-muri èdhi
I think that we all can see,1SG to.think COMPL 1PL.in DUP-all 1PL.in DUP-to.see,ja'a ngee na èdhi aa'i-aa'i ti la-ladhe
They thought the king was a person named Hètu Helo,3PL to.guess COMPL person great PART person one name 3SG grandfather Hètu.Helo,rèngu siri na dhèu aae ka dhèu èci ngara na baki Hètu.Helo
They see that I am a newcomer,3PL to.see COMPL 1SG person new tag,rèngu ladhe na ja'a dhèu hiu to
They see that I am a newcomer,3PL to.see 1SG person new tag,rèngu ladhe ja'a dhèu hiu to
I see that you cannot  anymore,1SG DUP-to.see 2PL COMPL 2PL can no.more,ja'a la-ladhe  na miu bisa heka
I see that you cannot  anymore,1SG DUP-to.see 2PL can no.more,ja'a la-ladhe miu bisa heka
They would say I did it wrong,3PL to.say COMPL 1SG to.work wrong,rèngu peka na ja'a sabe sale
"I told you that if you want, you do",1SG to.say 2SG shall PART 2SG to.work,ja'a peka èu mo'o na mu sabha
"According to her, 'do you recognize this one or not?'",according.to 3SG COMPL 2SG to.recognize PROX.SG or be.absent,aku nèngu na èu tadhe ne'e do aad'o
"She said, ""go and order him to come""",according.to 3SG COMPL to.go-2SG for 3SG come,aku nèngu na la-mu hia na mai
I prayed in order the rain decreased,1SG to.say again according.to 1SG COMPL CAUS-lack,ja'a peka hari  na pa-kure
Then she thought when there was holomanu traditional ceremony,3SG to.estimate COMPL moon DIST.SG moon Holomanu,nèngu kasere  hèru èèna hèru Holomanu
When we hear that we are sad,1PL.in to.hear COMPL 1PL.in difficult,ji'i tadèngi  ji'i j'èra
I remember that I ever stayed with an old woman,1SG to.remember 1SG to.stay with female old one,ja'a sanède ja'a pea dènge bhèni heka èci
"We know, Lord, You answer our prayer",1PL.in 1PL-ex.to.know father Lord hear voice to.ask 1PL.in,ji'i ng-e'a Ama Lamatua tadèngi lii manèngi ji'i
she did not want to go as well,3SG 3SG-to want not to.go-3SG also,nèngu n-o'o boe la-'e kahèi
I want to bring you,1SG 1SG-to.want to.carry 2SG,ja'a k-o'o hue èu
My father asked me to go to sea,father 1SG order 1SG to.go-1SG inside sea,ama ku pua ja'a la-ku dara dhasi
your father ordered us to come and ask you,father(Mal) 2SG to.give 1PL.ex to.come question 2SG,papa mu hia ji'i mai karèi èu
We here have not eaten yet since the beginning of this day,1PL.ex PART PROX.SG to.die belly since morning recent PART,ji'i ka ne'e madhe kabake karai madae Deo ka
"When it  was burning, he stepped by his left leg",when 3SG-to.eat then 3SG step a staircase foot left PROX.SG,ropa n-a'e hèia nèngu j'èli ca tanu'i ai riu ne'e
"When the tortoise moved one or two steps, he threw coconut down",when tortoise to.go-3SG to.reach not.yet a step two step 3SG to.drop coconut to.come,ropa ènyu la-'e dai mèka ca pèga dua pèga
"When they went, his wife gave birth",3PL day to.go-3PL PART PART person house 3SG 3SG-to.take body,rèngu lod'o la-si na ka dhèu èmu èèna n-ara iisi
"When the time came,  came",to.reach day to.come PART,dai lod'o mai ka
"After that, we use it to dipper water",finish DIST.SG 1PL.ex bucket toward water,èle èèna èdhi usu mi èi
"I do not set  anymore, afterwards  drill",already DIST.SG PART drill(IND),èle èèna na bor
"After wrapping, then we take out the frame",1PL.ex wrap finish PART 1PL.ex take.out.frame,ji'i lolo èle ka  salake
Let us not forget from where we came,NEG.PROH to.forget body PROX.SG from where 1PL.in to.come,baku bèlu ngi'u ne'e ngèti mia èdhi mai
"Her mother got up, before the sun rises",mother 3SG to.get.up sky red not.yet,"ina na ke`di, liru mea me`ka"
"Their feet cannot walk any more, like being sliced wide",inside limb 3PL be.able no.more to.walk like to.make DUP-cut.open DIST.PL,dara ai rèngu nia heka kako sèmi tao sa-sola sèra
Continue running as the way that king runs over there,to.run continue be.like person great REM.SG to.run to.go-3SG REM.SG,rai taruu sèmi dhèu aae nèi rai la-'e nèi
"Please wait, let me make a line with my foot",wait IRR grandmother to.chop via foot grandmother PROX.SG EXCL,mata ho bèi sai re haga bèi ne'e we
I dig a hole in order to bury my eggs,to.dig land IRR to.bury egg 1SG,kèi rai ho dènu kanadhu ja'a
When you go and encounter wild animals,to.go-2SG IRR RECP-to.meet with animal wild,la-mu ho pa-raga dènge badha hui
Do something good so that our children also can do good things,"to,make PART REL good PURP PART child 1PL.in PROX.PL can to.make REL good",tao la dhu be'a sèna ka ana èdhi se'e bisa tao dhu be'a
Father et al are drinking in order not to be sleepy,father(Mal) REM.PL 3PL-to.drink PURP PART child eye NEG.PROH doze,papa sèi r-inu sèna ka ana madha baku sakaa
It is smoothed in order it can become,CAUS-fine IRR PURP PART 3SG to.become,pa-lutu ho sèna ka na j'aj'i
learn so that you know how to plant tobacco,as to.study so.that PART 2SG-to.know to.plant tobacco PART,aj'a sèna ka m-e'a lari na'i nga
I was so happy because I got a sasando made of the kare wood,1SG be.happy to.stand PART DIST.SG CAS 1SG to.get sasando branch k.o.tree PROX.SG,ja'a karej'e titu ka èèna lula ja'a abhu sasadhu kalai kare ne'e
"Since you are the king in this forest, then you are talking too much",CAS PART 2SG person great PART inside jungle PROX.SG mouth 2SG ?,lula ka èu dhèu aae ka dara j'ami ne'e hèba èu hue-hue
"She said, ""please come because there is a person here",according.to 3SG to.come tag because person one PART PROX.SG,"aku nèngu, ""mai ku te dhèu èci ka ne'e"""
"Give me, otherwise, I could not go up",to.give 1SG because be.absent PART 1SG to.climb 1SG-to.take not,hia ja'a te aad'o na ja'a ca'e k-ore boe
As the queen is sick so I come,as female great DIST.SG be.sick SO 1SG to.come,te bhèni aae èèna pèda de ja'a mai
"As grandmother said that dig holes, so I dig holes",as according.to grandmother tag COMPL to.dig hole SO 1SG to.dig hole PART,te aku bèi ku na kèi ro'a de ja'a kèi ro'a nga
"They said that you wanted milk, so we had taken it",according.to 3PL COMPL as 2SG to.look.for water milk SO 1PL.ex to.go-1PL.ex 1PL.ex-to.take water milk,aku rèngu na te èu tenge èi susu de ji'i la'a ng-are èi susu
"When/if I call your name, please answer",to.see father to.call name who PART 3SG to.answer,ladhe ama paroa ngara cee na nèngu dhaa
"When/if I call your name, please answer",to.see father to.call name who 3SG to.answer,ladhe ama paroa ngara cee nèngu dhaa
"We sold a lot of peanuts, provided that  got anything, like corn",to.go-1PL.ex to.sell with pea many provided.that to.get what corn China,la-'a pahia dènge kabui ae sad'i abhu ngaa tarae sina
"It is not possible that one be big and one be small, for if they are, I cannot carry",be.able not one big one child small PART be.absent PART 1SG to.carry not,bisa boe èci kapai èci ana iiki te aad'o na ja'a dui boe
"Whether or not he comes, if not, I will not come anymore tomorrow",3SG.SUBJ.CL to.come or be.absent lest PART tomorrow 1SG to.come no.more,na mai do aad'o aeka na bèli ja'a mai heka
"One day, the queen smelt the odor of his wound",one day again SEQ female great PROX.SG smell 3SG-to.take smell wound 3SG,ca lod'o hari hèia bhèni aae ne'e ae n-are hèu hisu nèngu
"After eating and drinking, they returned",3PL-to.eat 3PL-to.drink 3PL-to.take SEQ to.return,r-a'a r-inu r-are hèia lèpa
"When he got back home, he told the old lady",3SG to.come house PART 3SG say with grandmother,nèngu mai èmu ka  peka dènge bèi
"Your father was stealing so the police arrested , then jailed  for seven years",father 2SG.CL to.steal PART police 3PL-to.bring PART to.close seven year,ama mu mana'u ka polisi r-èti Ø ka bèdho Ø pidhu tèu
"After finishing three sheets, then we go sell that",CAUS-to.reach three sheet PART then 1PL.ex to.go-1PL.ex to.sell PART DIST.SG,pa-dai tèlu bèla  heka ji'i la-'a pahia ka èèna
He becomes an enemy although we are friends,3SG to.become toward enemy although PART RECP-friend,nèngu j'aj'i mi musu masi ka pa-angalai
Although it is like that But all people had tried,although PART be.like DIST.SG PART PART PART but finished all person already PART,masi ka sèmi èèna na ka oo  èle mèu dhèu èle nga
"The dog said, 'mine is finish'",according.to dog DIST.SG own 1SG finish already PART also,aku busa èèna unu ja'a èle le ka hèi
Whereas he had rice no more,what but rice REL again not still,ngaa te kau dhu hari boe era
Mine is also almost finish'',to.own 1SG almost finish PART PART tag,unu ja'a oe èle ka na nga
"Whereas, the dog eat",what PART dog 3SG-to.eat,ngaa te busa n-a'a
The cika bird ran,child cika DIST.SG to.run to.come,ana cika èèna rai mai
He ran there,3SG to.run to.go-3SG PERF PART,nèngu rai la-'e le na
I sort out grass,1SG to.jump to.scoop grass,ja'a soa da'u j'u'u
He has never eaten anything,3SG-to.eat 3SG-to.see not DUP-what,n-a'a n-èdhi boe ngaa-ngaa
He eats and he sees nothing,3SG 3SG-to.eat 3SG 3SG-to.see not DUP-what,"nèngu n-a'a, nèngu n-èdhi boe ngaa-ngaa"
He already ran there,3SG to.run to.go-3SG PERF PART,nèngu rai la-'e le na
He took the walking stick,3SG to.catch 3SG-to.take walking.stick DIST.SG,nèngu kèpe n-are tatea èèna
He hold me and throw me into sea,3SG to.catch 1SG PART to.throw to inside sea,nèngu kèpe ja'a ka pèci asa dara dhasi
He takes the apple on the book,3SG 3SG-to.take apple(IND) LOC above book(IND),nèngu n-are apel ètu dedha buku
Tidy it up first and then tear,CAUS-to.clear.up finish just CAUS-to.tear,pa-jingi èle heka pa-ciu
"The dog said, 'mine is already finished'",according.to dog PART own 1SG finish PERF Also,aku busa na unu ja'a èle le Kahèi
"after throwing it,  go home and took ,  come to asked  to find",throw 2PL-to.take COMPL come go-2PL follow come to.give to.go-3SG to.look.for,pèci m-ere na mai la-mi madhutu mai hia la-'e tenge
You come in order to fetch,2PL to.come PART to.go-2PL to.follow 3SG,mai  la-mi madhutu
You come in order to ask  to look for,2PL to.come PART to.give 3SG to.go-3SG to.look.for ring,mai  hia  la-'e tenge
They went to propose for someone,PART to.go-3PL to.ask person,ho la-si karèi dhèu
We come to find the goats here,1PL.in to.come to.look.for goat PROX.SG tag,ji'i mai tenge kahib'i ne'e do
I was laughing loudly so  hear so  it's good,1SG to.go-1SG to.laugh CAUS-aloud so to.hear so good PERF,ja'a la-ku mari pa-mèdhu de tadèngi de be'a le
The cika bird ran towards,child cika DIST.SG to.run to.come,ana cika èèna rai mai
I have thought of a work here,1SG to.think 1SG.to.see DUP-to.work one PART PROX.SG,ja'a ngee k-èdhi sa-sabha èci ka ne'e
"In one thousand, nine hundred and eighty-two, I went to Kupang",year eight tens two 1SG to.go-1SG to.reach Kupang,tèu aru nguru dua ja'a la-ku dai Kota
They had meals until the time to go home,3PL-to.eat 3PL-to.drink to.reach hour(IND) to.return DEF,r-a'a r-inu dai jam lèpa kèna
Its designs have three or four types,fruit 3SG to.reach three QNT four QNT DIST.PL,hua nèngu dai tèlu bua èpa bua sèra
We take wood to make its handle,1PL to.make wood to.make k.o.handle,èdhi tao aj'u tao kakama
I did it not right,1SG to.do right not,ja'a tao lèke boe
I heal the cika bird,1SG to.make CAUS-good child cika PROX.SG,ja'a tao pa-be'a ana cika ne'e
But she usually told stories,but 3SG to.make to.tell PART PART,te nèngu tao lole ka la
He was only a singer but he was rich,3SG to.make to.sell voice DIST.SG PART 3SG rich rich,nèngu tao pahia lii èèna ka nèngu sug'i kaja
The cika bird ran towards,child cika DIST.SG to.run to.come,ana cika èèna rai mai
She came down to the earth,3SG to.descend to land below to.come,nèngu puru asa rai haha mai
She came down to the earth,3SG to.descend to.come to land below,nèngu puru mai asa rai haha
Give me the net,to.give tag net DIST.SG to.come,hia ku jala èèna mai
Give me the net,to.give to.come tag net DIST.SG,hia mai ku jala èèna
Thus he put  in vinegar,to.make to inside water vinegar to.go-3SG,tao asa dara èi kadosa la-'e
Thus he put  in vinegar,make to.go-3SG to inside water vinegar,tao la-'e asa dara èi kadosa
Because the love of the Lord remains forever,but DUP-to.love from Lord 3SG until to.reach where where to.go,tengaa sa-sue ngèti Lamatua nèngu toke dai mia mia la'e
I take the thread then I put  in,1SG 1SG-to.take thread recent DIST.SG so.that 1SG to.make go,ja'a k-ore hèngu deo èèna ho ja'a tao la'a
I take wood then I rub wax into the wood,1SG 1SG-to.take palm.leaf's.rip PART 1SG to.rub candle to.go,ja'a k-ore ladha.rai ho ja'a roso lili la'a
Because I was laughing,because 1SG to.go-1SG to.laugh,te ja'a la-ku mari
However you cooked meals for me,although 2SG make DUP-eat drink give 1SG PART PART,masi èu tao nga-nga'a nginu hia ja'a na ka
I give salary to you,1SG to.give wage(IND) to.give 2SG,ja'a hia gaji hia èu
He took the stick,3SG to.catch 3SG-to.take walking.stick DIST.SG,nèngu kèpe n-are tatea èèna
"He said, wait I make the water container full",according.to 3SG to.wait 1SG CAUS-full 1SG-to.take tag palm.container water PART,aku nèngu mata ja'a pa-pènu k-ore ku sabha èi la
"now you know how to tap lontar palm, so we can drink palm juice",because PROX.SG PROX.SG 2SG 2SG-to.know tap palmwine PART 1PL 1PL-to.drink 1PL-to.see palmwine,te ne'e ne èu m-e'a èta Dhua ka èdhi t-inu t-èdhi dhua
he never eats anything,3SG-eat 3SG-see not DUP-what,n-a'a n-èdhi boe ngaa-ngaa
I never go to church,1SG to.go-1SG 1SG-to.see not,ja'a la-ku k-èdhi boe
"Not long, a cika bird saw him",long.time not child cika to.look 3SG-to.see 3SG,nèbhu boe ana cika ladhe n-èdhi nèngu
I remembered a job here,1SG to.think 1SG-to.see DUP-to.work one PART PROX.SG,ja'a ngee k-èdhi sa-sabha èci ka ne'e
I thought of a job here,1SG to.think 1SG-to.see DUP-to.work one PART PROX.SG,ja'a ngee k-èdhi sa-sabha èci ka ne'e
I heal the cika bird,1SG to.make CAUS-good child cika PROX.SG,ja'a tao pa-be'a ana cika ne'e
She went to fumigate her house black,to.go-3SG fumigate CAUS-black house,la-'e sanuu pa-mèdhi èmu
"I asked you to go westward, but you go eastward",1SG to.give 2SG to.run to west PART 2SG to.run to east to.go-2SG,ja'a hia èu rai asa haa na èu rai asa dhimu la-mu
But the old lady asked him to hide in the attic,but grandmother DIST.SG to.give to.go-3SG hide to house above,tengaa bèi èèna hia la-'e lu'u asa èmu dedha
Came home on foot,to.come house to.come to.make to.walk,mai èmu mai tao kako
The two boys are talking while standing,child male person two to.speak voice to.make stand,ana mone dhèu dua padhai lii tao titu
"He said, I was crying while calling people",according.to 3SG 1SG to.weep to.call person,aku nèngu ja'a tangi paroa dhèu
"After dividing, it is plaited to become kanaca",to.divide 1PL-in-to.take PART to.plait to.become k.o.tool,bagi t-are na ènyu j'aj'i kanacha
"After eating, he fell asleep on the wood",3SG-to.eat 3SG-to.take PART to.sleep PART unto above stem wood recent DIST.SG,n-a'a n-are ka j'unu ka mi dedha laa aj'u deo èèna
This man store the lontar sap using palm container,man old.age PROX.SG to.store sap via palm.container,mone heka ne'e tanae dhua re sabha
In order we could drink palm juice using the palm container,so.that 1PL.in-to.drink palmwine toward inside palm.container,ho t-inu dhua ma dara sabha
cleaned  using the cloth on  neck,CAUS-clean to.use cloth LOC neck,pa-mèu pake kaha'i ètu ladha.goro
We roll using one or two rolling shell,1PL to.roll to.use shell to.roll one or shell to.roll two,èdhi lolo pake kaba lolo èci do kaba lolo dua
"Those who could jump, they jumped and left",where REL to.jump 3PL-to.take PART 3SG to.jump to.leap so.that to.go-3PL,mia dhu soa r-are na nèngu soa bèdhi ho la-si
We go to dig  soil,1PL.in to.go-1PL.in to.dig land,ji'i la-'a kèi rai
I come to bring the dowry,1SG to.come 1SG-to.bring bridewealth rasher DIST.SG PART,ja'a mai k-èti kabua kadhèli èèna ka
