Pada mulanya , Allah menciptakan langit dan bumi . ||| Uru-uru tèka , Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha .
Sapi-sapi yang kurus dan buruk memakan ketujuh sapi yang tambun sebelumnya . ||| Dhu pamalaa jaꞌa , pidhu sapi dhu malaka-godꞌa sèra , kabèdhi laa dhèle aaꞌi pidhu sapi dhu kabèbꞌu se .
Ketika masuk ke dalam perutnya , tidak dapat diketahui bahwa mereka telah memakannya karena mereka tetap kelihatan buruk seperti semula . Kemudian , aku pun terbangun . ||| Sapi dhu malaka sèra dhèle aaꞌi , te ngaa ngiꞌu ra malaka taruu sèmi èèna ka . Hèia jaꞌa kabèdhi dènge ka .
Aku melihat dalam mimpiku , tampak tujuh bulir gandum yang bernas dan baik , muncul dari satu tangkai . ||| Èle èèna ka , jaꞌa bhèjꞌi luu hari , ka nii hari ca tèka . Jaꞌa kèdhi pidhu huri are dhu isi pènu , kalua nèti laa are ca kapua dhu subꞌu .
Lalu , tampak tujuh bulir gandum yang layu , tipis , dan rusak karena angin timur , yang muncul setelahnya . ||| Èle èèna ka , jaꞌa kèdhi hari , pidhu huri are dhu isi aadꞌo , aa dhu kamale dhae-dhae , lèke lai ngèlu pana .
Bulir-bulir gandum yang tipis itu menelan ketujuh bulir gandum yang baik . Aku telah menceritakan semua ini kepada para ahli sihir itu , tetapi tidak satu pun yang mampu menjelaskannya kepadaku . ” ||| Ka pidhu huri are dhu bèdhu sèra dhèle aaꞌi pidhu huri are dhu isi pènu sèra . Èle èèna ka , jaꞌa kèdꞌi nèti bhèjꞌi . Ka jaꞌa lolo lii nii seꞌe mi dhèu dꞌèlu-mèu seꞌe , te ngaa èci sa bisa boe peka sasoa lii nii sèra . ”
Kemudian , Yusuf berkata kepada Firaun , “ Mimpi Firaun adalah satu . Apa yang hendak Allah lakukan telah Dia nyatakan kepada Firaun . ||| Hèia Yusuf padhai lii , peka na , “ Ama dhèu aae ! Lii nii dua sèra , sasoa na dhoka èci di . Ama Lamatua peka le , mi ama dhèu aae , ngaa dhu Na neo tao .
Tujuh ekor sapi betina yang bagus adalah tujuh tahun dan tujuh bulir gandum yang bagus adalah tujuh tahun , mimpi tersebut satu adanya . ||| Sasoa na sèmi neꞌe ka : pidhu sapi dhu kabèbꞌu , dènge pidhu huri are dhu isi pènu sèra , sasoa na , tèu dhu bècu-manèsa pidhu tèu . Sasoa ra dhoka èci di .
Lalu , tujuh ekor sapi betina yang kurus dan kelihatan buruk , yang muncul sesudahnya , adalah tujuh tahun . Tujuh bulir gandum yang tipis dan rusak oleh angin timur itu akan menjadi tujuh tahun kelaparan . ||| Sèmi èèna kahèi , pidhu sapi dhu malaka-godꞌa , dènge pidhu huri are dhu isi aadꞌo , sasoa na , tèu manganga pidhu tèu .
Inilah hal yang aku katakan kepada Firaun , yaitu apa yang hendak Allah lakukan telah Dia nyatakan kepada Firaun . ||| De Lamatua dhu peka mema le , ngaa dhu Nèngu neo tao . Èèna sama kahèi , dènge ngaa dhu jaꞌa peka deo na .
Sesungguhnya , akan datang tujuh tahun masa kelimpahan besar di seluruh tanah Mesir . ||| Ladhe bèli-camèdꞌa , ètu rai Masir neꞌe , dꞌara pidhu tèu , èdhi abhu bècu-manèsa palème rae .
Setelah itu , akan datang tujuh tahun kelaparan sehingga segala kelimpahan sebelumnya di tanah Mesir akan terlupakan . Kelaparan itu akan menghabisi tanah ini . Bahkan , kelimpahan itu tidak akan diingat lagi di tanah itu karena kelaparan sesudahnya , sebab hal itu akan terlalu berat . ||| Èle èèna na , heka èdhi abhu manganga dꞌara pidhu tèu . Dꞌara pidhu tèu na , manganga madèu aae . Toke èdhi abhu boe ngangaꞌa calamusi sa , ètu dedha rai Masir neꞌe . Dhèu aaꞌi-aaꞌi manganga ae titu kèna , ka ra bhèlu eele uru na dhu rèngu abhu le babècu pidhu tèu .
Karena mimpi itu diulang sampai dua kali bagi Firaun , berarti hal tersebut telah ditetapkan oleh Allah dan Allah akan melaksanakannya secepatnya . ||| De ladhe ama dhèu aae abhu nii dua hari , sasoa na , Ama Lamatua ka dhu ator tèke . Nèbhu heka , ngaa dhu Na ator ne , jꞌajꞌi kèna .
Sebab itu , sebaiknya Firaun mencari seseorang yang pandai dan bijaksana , lalu mengangkatnya atas seluruh tanah Mesir . ||| Nèti èèna ka , jaꞌa manèngi sèmi neꞌe : beꞌa risi ama dhèu aae tenge dhèu dꞌèlu-mèu èci , dhu bisa tao ai-hèbꞌa laꞌa dènge beꞌa . Aa dedꞌe ne , ho ladhe-leru kabarai neꞌe dènge beꞌa .
Lalu , hendaklah Firaun menunjuk para pengawas atas tanah ini dan mengambil seperlima bagian dari hasil tanah Mesir selama tujuh tahun kelimpahan itu . ||| Dꞌara pidhu tèu dhu bècu èèna , beꞌa risi ama dhèu aae dedꞌe hari dhèu , ho ra oru-pakaboko ngangaꞌa dhu risi eele . Ngangaꞌa dhu risi sèra , bagi mi lèmi ho tèke ca pala .
Biarlah mereka mengumpulkan segala makanan dalam tahun-tahun yang baik , yang akan datang ini , dan menimbun gandum di bawah tangan Firaun . Biarlah mereka menyimpan makanan di kota-kotanya . ||| Ana kabarai neꞌe , hudꞌi madhutu dènge beꞌa paredha ama dhèu aae , ho pakaboko are-are dhu risi eele , nèti rae-rae ètu rai Masir neꞌe . Aa ra soli sa dꞌara soka ho jꞌaga paie .
Makanan itu akan menjadi persediaan untuk tanah ini , selama tujuh tahun kelaparan yang akan terjadi di tanah Mesir supaya tanah ini tidak dibinasakan oleh kelaparan itu . ” ||| Sèna ka pidhu tèu dhu manganga nèi mai te , èdhi dhu sadia le ngangaꞌa . Dènge jꞌara sèmi neꞌe , èci sa madhe boe manganga . ”
Usul tersebut baik di mata Firaun dan di mata seluruh hambanya . ||| Ropa tadèngi lii padhai lii Yusuf ne , dhèu aae dènge dhèu kapai sèra , sèmi ngaa dhu na peka dènge dhèu aae èèna .
Lalu , Firaun berkata kepada para hambanya , “ Apakah kita dapat menemukan orang seperti ini , seseorang dengan Roh Allah di dalam dirinya ? ” ||| Ka dhèu aae padhai lii , peka na , “ Roh Ama Lamatua hia le koasa mi Yusuf neꞌe . Nèti èèna ka , èdhi abhu heka dhèu dhu risi nèti nèngu . ”
Lalu , Firaun berkata kepada Yusuf , “ Karena Allah telah membuatmu semua hal ini diketahui olehmu , maka tidak ada satu pun yang sepandai dan sebijaksana dirimu . ||| Èle èèna ka , dhèu aae padhai lii dènge Yusuf , peka na , “ Ama Lamatua peka dènge èu , ngaa-ngaa seꞌe aaꞌi-aaꞌi . Nèti sèmi neꞌe ka , heka jiꞌi ngeꞌa kèna èu neꞌe tareꞌa-reꞌa dhèu mèu . Aa mamèu èu ne , risi eele dhèu ètu mia-mia .
Kamu akan berkuasa atas istanaku dan berdasarkan perkataan mulutmulah seluruh rakyatku akan diperintah . ” ||| Nèti èèna ka , deo neꞌe kahèi jaꞌa dedꞌe èu jꞌajꞌi ai gꞌana jaꞌa . Sèna ka èu jꞌajꞌi dhèu kapai ètu dꞌara èmu jaꞌa . Aa ana kabarai jaꞌa nanene lii paredha èu . Dhoka jaꞌa di dhu risi nèti èu . ”
Firaun berkata kepada Yusuf , “ Lihat , aku telah mengangkatmu menguasai seluruh tanah Mesir. ” Kemudian , Firaun melepaskan cincin meterai dari tangannya dan memasangnya di tangan Yusuf , lalu dia memakaikan pakaian dari linen halus kepada Yusuf dan memasang sebuah rantai emas di lehernya . ||| Èle èèna ka , dhèu aae puru eele kadheli dhu dènge cap nèti ai na , ka na pasaluu mi ai Yusuf . Ka na padhai lii , aku nèngu na , “ Dènge neꞌe ne , jaꞌa dedꞌe èu , jꞌajꞌi ai gꞌana jaꞌa ètu rai Masir. ” Hèia na papake kodho madhera dhu milu èci mi Yusuf , aa na paꞌinu rate hualaa cakoko mi ladha-goro na .
Setelah itu , Firaun menyuruh Yusuf mengendarai keretanya yang kedua dan di hadapan Yusuf , mereka berseru , “ Berlutut ! ” Demikianlah Firaun mengangkatnya menguasai seluruh tanah Mesir . ||| Èle èèna ka , dhèu aae hia hari Yusuf kareta ka dua nèngu . Ka na hia dhèu lasi uuru , ho paꞌoo peka na , “ We ! Patalele jꞌara oo ! Pahaha iisi mliu ! Dhèu kapai neo re neꞌe ! ” Dènge jꞌara neꞌe , dhèu aae dedꞌe le Yusuf , jꞌajꞌi ai gꞌana na ètu rai Masir .
Firaun berkata kepada Yusuf , “ Akulah Firaun , tetapi tanpamu , tidak akan ada seorang pun yang mengangkat tangannya atau kakinya di seluruh negeri Mesir . ” ||| Hèia dhèu aae padhai lii dènge Yusuf , peka na , “ Sèmi neꞌe . Èu dhu meꞌa le jaꞌa ne dhèu aae . Te ngaa jaꞌa peka le dènge ana kabarai Masir aaꞌi-aaꞌi , peka na , ladhe èu hia boe ijin , rèngu bisa boe tao ngaa èci sa . ”
Kemudian , Firaun menamai Yusuf dengan Zafnat-Paaneah . Dia juga memberikan Asnat kepadanya sebagai istri , yaitu anak Potifera , imam di On . Lalu , Yusuf pergi ke seluruh tanah Mesir . ||| Èle ka , dhèu aae pangare Yusuf madhutu ngara Masir , na Safnat Panea . Aa , na hia Yusuf madhèdi dènge ana bhèni èci , ngara na Asnat . Ama dhèu èmu na , ngara na Potifera . Nèngu neꞌe ka dhu jꞌajꞌi ama agama ètu dꞌara kota On . Dènge jꞌara neꞌe , Yusuf jꞌajꞌi dhèu kapai ètu rai Masir .
Yusuf berumur 30 tahun ketika dia berdiri di hadapan Firaun , raja Mesir . Yusuf pun pergi dari hadapan Firaun dan pergi mengelilingi seluruh tanah Mesir . ||| Lodꞌo na jꞌajꞌi dhèu kapai ètu rai Masir , umur nèngu 30 ( tèlu nguru ) tèu le . Hèia na kako palème rai Masir .
Selama tujuh tahun kelimpahan , tanah itu mengeluarkan hasil yang berlimpah-limpah dari tanah . ||| Ètu dꞌara pidhu tèu dhu bècu-manèsa neꞌe , oka-tedhe pènu dènge ngangaꞌa .
Selama tujuh tahun , dia mengumpulkan segala makanan dari tanah Mesir dan menimbun makanan di kota-kota : makanan dari ladang , dari sekitar masing-masing kota , ditimbunnya di tengah kota . ||| Hèia Yusuf kaboko ngangaꞌa dhu risi , ka na tèka paia si . Ètu era mia dhu na pakaboko ngangaꞌa , ètu èèna kahèi na soli asa dꞌara soka .
Yusuf menimbun gandum seperti pasir di laut , sangat banyak , hingga dia berhenti menghitungnya karena sudah tidak terhitung . ||| Are dhu pakaboko nare , ae titu kèna . Èci èèna ka , dènge salae ètu nebhe dhasi , ka dhèu uku rare heka .
Sebelum tahun kelaparan datang , lahirlah dua anak laki-laki bagi Yusuf dari Asnat , anak Potifera , seorang imam di On . ||| Dꞌai mèka tèu manganga , dhèu èmu Yusuf , Asnat nara iisi le ana mone dhèu dua .
Yusuf menamai anak sulungnya Manasye , sebab katanya , “ Allah telah membuatku melupakan segala kesusahanku dan seluruh rumah ayahku . ” ||| Ka Yusuf padhai lii , peka na , “ Ama Lamatua tao jꞌara neꞌe , sèna ka pabhèlu jaꞌa nèti jꞌajꞌèra dhu lodꞌo jaꞌa kalua nèti dꞌara èmu ama ku. ” Nèti èèna ka , ana uuru , na pangare ne Manase ( dhu sasoa na ele boe ‘ bhèlu ’ ) .
Nama anak keduanya adalah Efraim , sebab katanya , “ Allah telah membuatku berbuah-buah di tanah kesengsaraanku . ” ||| Lodꞌo na abhu ana ka dua , na padhai lii hari , peka na , “ Jaꞌa abhu jꞌajꞌèra ae dꞌai seli ètu era neꞌe . Te ngaa sasue dènge ladhe-leru Ama Lamatua ka , jaꞌa abhu ana ètu neꞌe. ” Ka na pangare ana neꞌe Efraim .
Tujuh tahun kelimpahan di tanah Mesir pun berakhir . ||| Nèbhu boe ka , èle pidhu tèu dhu bècu-manèsa na .
Tujuh tahun kelaparan pun mulai tiba , sebagaimana yang telah dikatakan Yusuf . Kelaparan terjadi di semua wilayah , tetapi di seluruh tanah Mesir ada makanan . ||| Aa pidhu tèu manganga madèu dꞌai kèna , sama sèmi dhu uru èèna Yusuf peka le . Ètu era leo , dhèu manganga le . Te ngaa rae-rae ètu Masir ngangaꞌa ae era .
Ketika seluruh tanah Mesir kelaparan , rakyat mulai berteriak kepada Firaun untuk makanan . Kemudian , Firaun berkata kepada semua orang Mesir , “ Pergilah kepada Yusuf ! Kamu harus melakukan apa pun yang dikatakannya . ” ||| Te ngaa nèbhu-nèbhu , kabarai Masir manganga kahèi . Ka lasi asa dhèu aae ho ra manèngi ngangaꞌa . Aa dhèu aae pua si lasi asa Yusuf , sèna ka ra madhutu paredha Yusuf .
Ketika kelaparan semakin menyebar ke seluruh muka bumi , Yusuf pun membuka semua penimbunan , dan menjualnya kepada orang Mesir . Kelaparan itu terlalu berat di tanah Mesir . ||| Te ngaa rai manganga ètu mia-mia asa tabha , toke dꞌai rae-rae ètu rai Masir . Nèti èèna ka , Yusuf bhoke aaꞌi soka ngangaꞌa sèna ka pahie dènge dhèu Masir .
Orang-orang dari seluruh bumi berdatangan ke Mesir untuk membeli gandum dari Yusuf karena kelaparan itu sangat berat di seluruh bumi . ||| Lula manganga ae titu kèna , ka dhèu nèti mia-mia mai hèli ngangaꞌa ètu Yusuf ètu rai Masir .
Ketika Yakub melihat bahwa di Mesir ada gandum , berkatalah Yakub kepada anak-anaknya , “ Mengapa kalian hanya saling memandang ? ” ||| Tèu èèna , Yakob tadèngi dhèu palolo na abhu are ètu Masir . Ka na peka dènge ana na si , aku nèngu na , “ Ana ee ! Miu nga tao madhèdi mau-mau ka laa ?
Dia berkata , “ Lihat , aku telah mendengar bahwa ada gandum di Mesir . Pergilah ke sana dan belilah untuk kita dari sana supaya kita tetap hidup dan tidak mati . ” ||| Jaꞌa tadèngi na ètu Masir pahia ngangaꞌa . Hua iia lami hèli , sèna ka èdhi baku madhe manganga . ”
Lalu , sepuluh kakak Yusuf berangkat ke Mesir untuk membeli gandum . ||| Ka aꞌa Yusuf canguru dhèu seꞌe paꞌèra ka , lasi hèli ngangaꞌa asa Masir .
Namun , Yakub tidak menyuruh Benyamin , adik Yusuf , untuk pergi bersama kakak-kakaknya sebab katanya , “ Jangan sampai kecelakaan menimpanya . ” ||| Te ngaa Yakob hia boe ari Yusuf dhu ngara na Benyamin , laꞌe dènge aꞌa na si . Te , na pangee , “ Mage dhoka , ana neꞌe abhu hari jꞌajꞌèra ètu talora jꞌara . ”
Jadi , anak-anak Israel berangkat untuk membeli gandum di antara mereka yang berdatangan karena kelaparan telah terjadi di tanah Kanaan . ||| Lula dhèu ae nèti mia-mia tadèngi le abhu ngangaꞌa ètu Masir , ka ra lasi hèli asa nèi . Manganga ne dꞌai le rai Kanaꞌan kahèi . Ka ana-ana Yakob se , lasi hèli kahèi asa Masir .
Yusuf adalah penguasa atas tanah itu dan dialah yang menjual kepada seluruh rakyat tanah itu . Lalu , datanglah kakak-kakak Yusuf dan berlutut kepadanya dengan mukanya sampai ke tanah . ||| Tèu èèna , Yusuf jꞌajꞌi ai gꞌana dhèu aae Masir . Ladhe dhèu nèti mia-mia mai hèli are , Yusuf ka dhu pahia . Nèti èèna ka , lodꞌo aꞌa na si dꞌai nèi , rèngu patitu kètu urutuu , ho tabꞌe Yusuf toke rèhu rèngu oe dꞌai rai .
Yusuf melihat kakak-kakaknya dan dia pun mengenali mereka . Namun , dia membuat dirinya tidak dikenali oleh mereka dan berbicara dengan kasar terhadap mereka . Dia berkata kepada mereka , “ Dari mana kalian datang ? ” Mereka berkata , “ Dari tanah Kanaan untuk membeli makanan. ” Yusuf mengenali kakak-kakaknya , tetapi mereka tidak mengenalinya . ||| Ropa Yusuf ladhe nèdhi aꞌa na si , na tadhe le èèna . Te ngaa Yusuf tao iisi sèmi dhèu Masir . Nèti èèna ka , rèngu tadhe boe ne hèi . Hèia na jèka si , aku nèngu na , “ Ee ! Miu se nèti mia ? ” Hèia ra dhaa , aku rèngu na , “ Jiꞌi se nèti Kanaꞌan . Jiꞌi mai hèli ngangaꞌa sa ama wakil . ”
Lalu , teringatlah Yusuf akan mimpi-mimpi yang pernah dimimpikannya tentang mereka , dan dia berkata kepada mereka , “ Kalian adalah mata-mata ! Kalian datang untuk mengamat-amati bagian yang tidak dijaga dari tanah ini . ” ||| Hèia Yusuf sanèdꞌe lii nii na uru na . Ka na pamadhaꞌu si , aku nèngu na , “ Jaꞌa lèka boe ! Miu seꞌe dhèu mata-mata . Miu mai tenge rahasia rai Masir , ho èèna na mai musu rai jiꞌi ! ”
Mereka berkata kepadanya , “ Tidak , ya Tuanku . Hamba-hambamu ini datang untuk membeli makanan . ||| Te ngaa ra dhaa peka na , “ Aadꞌo , ama ! Jiꞌi seꞌe dhoka ana pua-paleha nèti ama di . Tareꞌa-reꞌa jiꞌi mai sa neꞌe ne , neo hèli ngangaꞌa di . Leo nèti èèna , aadꞌo .
Kami semua ini adalah anak dari seorang laki-laki . Kami orang jujur , hamba-hambamu ini bukanlah mata-mata . ” ||| Jiꞌi aaꞌi-aaꞌi seꞌe , ana nèti ca ama di . Jiꞌi mai mata-mata boe rai ama ku si neꞌe . Jiꞌi seꞌe dhèu beꞌa . ”
Dia berkata kepada mereka , “ Tidak ! Kalian datang untuk mengamat-amati bagian yang tidak dijaga dari tanah ini . ” ||| Te ngaa Yusuf jèka si dènge lii mèdhu hari , peka na , “ He ! Omo koso ! Baku kapodꞌe-kabèli jaꞌa . Miu seꞌe tareꞌa-reꞌa dhèu bhelu . Miu mai tenge rahasia rai neꞌe ! ”
Mereka berkata , “ Hamba-hambamu ini adalah dua belas bersaudara , anak-anak dari seorang laki-laki di tanah Kanaan . Pada saat ini , yang bungsu ada bersama dengan ayah kami , tetapi yang seorang tidak ada lagi . ” ||| Ka ra peka , “ Aadꞌo ama ! Jiꞌi seꞌe ana pua-paleha ama ku di . Jiꞌi mai nèti rai Kanaꞌan . Jiꞌi aaꞌi-aaꞌi mi nèti ca ama , canguru dua dhèu . Ari jiꞌi dhu limuri tèka , pea dènge ama jiꞌi . Aa ari jiꞌi èci aadꞌo heka ! ”
Akan tetapi , Yusuf berkata kepada mereka , “ Sebagaimana yang telah aku katakan kepadamu , kalian adalah mata-mata . ||| Hèia Yusuf dhaa , aku nèngu na , “ Aadꞌo ! Lèke sèmi lii jaꞌa deo na ! Miu seꞌe dhèu mata-mata .
Beginilah kalian akan diuji : demi hidup Firaun , kalian tidak boleh pergi dari tempat ini , kecuali adik bungsumu itu datang kemari . ||| Na ! Karèi sèmi èèna , na miu hia ku tadha èci , sèna ka jaꞌa keꞌa lii padhai lii miu deo sa , tareꞌa , do aadꞌo . Jaꞌa subha ee ! Ladhe ari miu dhu limuri na , dꞌai boe neꞌe , miu èci sa bisa boe kalua nèti rai neꞌe !
Utuslah salah seorang dari kalian dan biarkan dia membawa adikmu , sementara yang lain tetap ditahan . Biarlah perkataanmu dapat dibuktikan , apakah ada kebenaran di dalamnya . Namun , jika tidak , demi hidup Firaun , kamu pasti adalah mata-mata . ” ||| De hua iia miu pua dhèu èci laꞌe , ho nèti ari miu dhu limuri èèna asa neꞌe mai . Aa miu dhu leo se , jaꞌa taha . Jaꞌa neo keꞌa miu seꞌe peka tareꞌa , do aadꞌo . Ladhe aadꞌo , miu seꞌe tareꞌa-reꞌa mata-mata . ”
Lalu , dia menjebloskan mereka ke penjara selama tiga hari . ||| Ka Yusuf pua taha si dꞌara bèdho tèlu lodꞌo .
Setelah tiga hari , Yusuf berkata kepada mereka , “ Lakukanlah ini dan kalian akan hidup sebab aku ini takut akan Allah : ||| Dꞌai lodꞌo ka tèlu , Yusuf laꞌe padhai lii dènge ra ètu dꞌara bèdho , peka na , “ Jaꞌa neꞌe , ca dhèu dhu madhaꞌu dènge Lamatua . Aa jaꞌa madhutu dadꞌèi Na taruu . Sèna ka miu mamuri , jaꞌa neo patabuli miu . Te ngaa hudꞌi dènge ku lii pajaji .
Jika kalian jujur , biarlah salah satu dari saudaramu tetap dikurung di dalam rumah tahanan . Kalian pergilah , bawalah gandum untuk kelaparan rumahmu . ||| Ladhe miu seꞌe tareꞌa padhai lii dhu mola , miu padꞌelo ku ngaa èci jꞌajꞌi mi tadha . Jꞌara na sèmi neꞌe : jaꞌa taha ca dhèu ètu dꞌara bèdho neꞌe . Dhèu leo lèpa ho mèti ngangaꞌa hia aꞌari miu , te ra tatae miu lami mèti ngangaꞌa .
Lalu , bawalah adik bungsu kalian kepadaku supaya terbuktilah perkataan-perkataanmu , dan kalian tidak perlu mati. ” Mereka pun melakukan seperti itu . ||| Dꞌai nèi , miu mèti ari miu dhu limuri èèna mai asa neꞌe , ho jꞌajꞌi bukti , tareꞌa miu seꞌe dhèu beꞌa . Sèna ka jaꞌa baku huku pamadhe miu. ” Ropa ra tadèngi rare neꞌe , ra dꞌèi kahèi sèmi èèna .
Mereka berkata satu sama lain , “ Kita benar-benar bersalah terhadap adik kita . Pada saat itu , kita melihat kesusahan jiwanya , ketika dia memohon kepada kita , tetapi kita tidak mendengarkannya . Oleh sebab itu , kesusahan ini menimpa kita . ” ||| Ka ra padhue-padhai ka èci dènge èci , peka na , “ Waa ! Neꞌe ne , èdhi heka abhu bꞌala kèna , lula sala dhu èdhi adꞌu-ue mi dedha ari èdhi uru na . Èdhi ladhe tèdhi nèngu jꞌèra titu kèna , dꞌai na manèngi sasue èdhi , te ngaa èdhi pusi boe ne . Nèti èèna ka , èdhi abhu jꞌajꞌèra sèmi neꞌe ne . ”
Lalu , Ruben berkata kepada mereka , katanya , “ Aku sudah berkata kepada kalian , ‘ Jangan berdosa terhadap anak itu , ’ tetapi kalian tidak mau mendengarkan ! Oleh sebab itu , lihatlah , darahnya pun dituntut dari kita ! ” ||| Hèia Ruben pasanèdꞌe si , peka na , “ We ! Ari-ari jaꞌa , ee ! Uru na jaꞌa kai le miu , ho baku pajꞌèra ana èèna , si ? Te ngaa miu-miu seꞌe ka dhu moꞌo boe nanene lii jaꞌa . Nèti èèna ka , lodꞌo neꞌe èdhi dui tare raa ari èdhi Yusuf èèna . ”
Mereka tidak tahu kalau Yusuf memahaminya karena ada yang menerjemahkan di antara mereka . ||| Rèngu padhai lii ae-ae sèmi èèna , reꞌa boe na Yusuf neꞌa lii rèngu kahèi . Lodꞌo Yusuf padhai lii dènge rèngu , na pake lii Masir , ho èèna na dhèu leo lole hari pake lii Ibrani .
Kemudian , dia berpaling dari mereka dan menangis . Lalu , dia kembali lagi kepada mereka , berbicara dengan mereka , mengambil Simeon dari mereka , lalu mengikatnya di hadapan mereka . ||| Tadèngi ra padhai lii sèmi èèna hèia , Yusuf kèdꞌi eele si , laꞌe tangi asa era leo . Tangi nare , laꞌe hari paꞌèci dènge si . Ka na pua dhèu èki Simeon ètu madha aꞌari na sèra .
Setelah itu , Yusuf memerintahkan untuk mengisi karung-karung mereka dengan gandum , mengembalikan uang masing-masing orang ke dalam karungnya , dan memberikan bekal untuk perjalanan kepada mereka . Dilaksanakanlah hal itu bagi mereka . ||| Èle èèna ka , Yusuf paredha dhèu sabꞌa sèra , ho soli are asa dꞌara karo aꞌa na si . Aa tao hari doi kabꞌua are sèra , asa dꞌara karo ra èci-èci . Ra tèke ètu hèbꞌa karo sèra . Na pua dhèu sabꞌa seꞌe , ho hia si dènge gee . Ka dhèu sabꞌa seꞌe lalau ka , madhutu ngaa dhu Yusuf paredha .
Mereka menaikkan gandum ke atas keledai-keledainya dan berangkat dari sana . ||| Èle ka , aꞌa na si hua karo ngangaꞌa sèra asa dedha badha keledꞌei . Ka ra pakèdꞌi dènge ka .
Ketika salah satunya membuka karungnya untuk memberi makan keledainya di tempat bermalam , dia melihat uangnya , dan lihatlah , itu ada di mulut karungnya . ||| Ropa dꞌai talora jꞌara , ra ae . Dhèu èci bhoke karo na , ho neo ani keledꞌei na . Na ladhe laꞌa na , doi na ètu dedha are , ètu dꞌara karo èèna .
Lalu , dia berkata kepada saudara-saudaranya , “ Uangku dikembalikan ! Lihatlah , itu di dalam karungku ! ” Lalu , mereka kecut hati dan mereka gemetar sambil berkata satu sama lain , “ Apakah ini yang telah Allah lakukan terhadap kita ? ” ||| Capa na cagꞌagꞌa ! Hèia na paroa aꞌa na si , peka na , “ Irii ! Miu mai ladhe ku laa ! Madhe èdhi kèna . Ra tao hari doi jaꞌa asa dꞌara karo ne. ” Ladhe rèdhi èèna ka , ra ele ngangee , aa madhaꞌu bia . Ka ra papeka ka , aku rèngu na , “ Ama Lamatua tao èdhi samia ka ne ? ”
Mereka pun sampai kepada Yakub , ayahnya , di tanah Kanaan . Mereka menceritakan kepadanya tentang semua hal yang telah menimpa mereka , katanya , ||| Hèia ra kako taruu ka , lasi dꞌai Kanaꞌan . Dꞌai nèi ka , ra lolo dènge ama ra , ngaa dhu rèngu paraga ètu rai Masir .
“ Orang itu , yang menjadi penguasa atas tanah itu , berbicara dengan kasar terhadap kami , dan menganggap kami mata-mata atas negeri itu . ||| Ra lolo , peka na , “ Ama , ee ! Ai gꞌana dhèu aae Masir èèna , bhelu titu kèna . Na jèka taruu jiꞌi . Na peka na jiꞌi laꞌa jꞌajꞌi mata-mata ho neo paꞌele iie rai Masir .
Namun , kami berkata kepadanya , ‘ Kami orang jujur , kami bukan mata-mata . ||| Ka jiꞌi dhaa , peka na , ‘ Aadꞌo ! Jiꞌi seꞌe padhai lii mola-mola . Jiꞌi mata-mata boe .
Kami ini dua belas bersaudara , anak-anak ayah kami , yang seorang sudah tidak ada , dan yang bungsu bersama dengan ayah kami saat ini , di tanah Kanaan . ’ ||| Jiꞌi seꞌe , dhèu beꞌa-beꞌa . Jiꞌi aaꞌi-aaꞌi mi , jꞌajꞌi nèti ca ama , dhèu canguru dua . Te ngaa èci madhe le . Aa ari dhu limuri èèna , dènge ama jiꞌi ètu Kanaꞌan . ’
Kemudian , orang itu , penguasa negeri itu , berkata kepada kami , ‘ Beginilah aku akan mengetahui bahwa kalian orang jujur : tinggalkanlah salah satu saudaramu denganku , dan ambillah makanan untuk kelaparan di rumahmu , lalu pergilah . ||| Na peka hari , aku nèngu na , ‘ Jaꞌa neo kèdhi , na , miu seꞌe dhèu beꞌa , do aadꞌo ! Miu èci , pea mi neꞌe . Aa leo lèpa mèti ngangaꞌa hia aꞌari miu , sèna ka ra baku madhe manganga .
Lalu , bawalah adik bungsumu kepadaku agar aku tahu bahwa kalian bukanlah mata-mata , melainkan orang jujur . Aku akan mengembalikan saudaramu kepadamu dan kamu boleh menjelajahi tanah ini . ’ ” ||| Hudꞌi miu mèti ku ari miu èèna mai sa neꞌe , heka jaꞌa keꞌa kèna , tareꞌa-reꞌa miu seꞌe dhèu beꞌa , mata-mata boe . Èèna na , heka jaꞌa patabuli dhèu miu dhu jaꞌa taha ne . Aa dènge sèmi èèna , jaꞌa heka koꞌo kèna , miu kako palème dedha rai neꞌe. ’ ”
Sewaktu mereka mengosongkan karung-karungnya , lihatlah , kantong uang masing-masing orang ada di dalam karungnya . Ketika mereka dan ayah mereka melihat kantong-kantong uang itu , mereka menjadi takut . ||| Lolo èle hèia , heka ra bhoke karo-karo rèngu dhu pènu dènge are sèra . Te ngaa ra cagꞌagꞌa ladhe laꞌa na doi rèngu sèra aaꞌi-aaꞌi ra , ètu hèbꞌa karo . Rèdhi sèmi èèna , Yakob dènge ana-ana na madhaꞌu titu kèna .
Yakub , ayah mereka , berkata kepada mereka , “ Kalian telah membuatku berduka . Yusuf tidak ada dan Simeon juga tidak ada , lalu Benyamin akan kalian ambil . Segalanya telah menimpaku ! ” ||| Hèia Yakob padhai lii dènge si , peka na , “ Miu se , paꞌele le ana-ana jaꞌa . Yusuf aadꞌo heka . Sèmi èèna kahèi , Simeon . Neꞌe miu neo mèti hari Benyamin kèna ? Miu seꞌe , tareꞌa-reꞌa neo pajꞌèra jaꞌa ! ”
